,Customer_ID,total_spending,order_frequency,Region,Alcoholic Beverages_pct,Juices_pct,Soft Drinks_pct,Water_pct,discount_sensitivity,Customer_Type_B2C,Cluster
0,CUS9293,40508.5,269.0,Bremen,0.804755545,0.092381846,0.066686251,0.036176358,0.0,True,1
1,CUS9294,41004.07,295.0,Niedersachsen,0.744690954,0.142344162,0.071943834,0.04102105,0.0,True,1
2,CUS9295,44858.02,276.0,Hamburg,0.809766459,0.104237325,0.053630098,0.032366119,0.0,True,1
3,CUS9296,50058.01,311.0,Hessen,0.81267893,0.094151166,0.054910892,0.038259012,0.0,True,2
4,CUS9297,35826.45,273.0,Nordrhein-Westfalen,0.775823728,0.114476874,0.063377477,0.046321921,0.0,True,1
5,CUS9298,42357.39,280.0,Saarland,0.785808568,0.106460289,0.061347973,0.04638317,0.0,True,1
6,CUS9299,41931.19,288.0,Hamburg,0.784204312,0.111806748,0.062147056,0.041841884,0.0,True,1
7,CUS93,35362.17,293.0,Sachsen-Anhalt,0.724805633,0.14595852,0.07708605,0.052149797,0.0,True,1
8,CUS930,41502.51,312.0,Berlin,0.76874989,0.113477956,0.075368454,0.0424037,0.0,True,2
9,CUS9300,36049.9,262.0,Saarland,0.767703933,0.128602576,0.066462875,0.037230616,0.0,True,1
10,CUS9301,37333.4,257.0,Saarland,0.777723165,0.114343189,0.06546149,0.042472156,0.0,True,1
11,CUS9302,40779.38,297.0,Niedersachsen,0.764023877,0.120944458,0.068317861,0.046713805,0.0,True,1
12,CUS9303,38962.83,275.0,Mecklenburg-Vorpommern,0.792638009,0.107913876,0.057471955,0.04197616,0.0,True,1
13,CUS9305,50084.93,305.0,Hamburg,0.797887908,0.105990764,0.056753798,0.03936753,0.0,True,2
14,CUS9306,38782.1,299.0,Nordrhein-Westfalen,0.754828387,0.125128345,0.077429536,0.042613732,0.0,True,1
15,CUS9304,41472.75,307.0,Sachsen,0.760274397,0.119038164,0.073425563,0.047261877,0.0,True,2
16,CUS6344,278741.02,324.0,Sachsen,0.78497101,0.110241184,0.062948288,0.041839518,0.085903084,False,0
17,CUS6348,309749.36,326.0,Hessen,0.785741252,0.103207574,0.072348334,0.03870284,0.084994808,False,0
18,CUS6340,35938.68,298.0,Bremen,0.747010185,0.124382699,0.078712963,0.049894153,0.0,True,1
19,CUS6341,42252.56,298.0,Sachsen,0.777063212,0.114020547,0.0681509,0.040765341,0.0,True,1
20,CUS6342,39294.73,274.0,Sachsen,0.785220817,0.096143427,0.07350095,0.045134806,0.0,True,1
21,CUS6343,30491.83,294.0,Bremen,0.687187355,0.162131627,0.097782258,0.05289876,0.0,True,1
22,CUS6345,45571.76,309.0,Schleswig-Holstein,0.786171304,0.104448676,0.063926432,0.045453588,0.0,True,2
23,CUS6346,47162.85,314.0,Bayern,0.768528407,0.128579592,0.062519335,0.040372666,0.0,True,2
24,CUS6347,49875.3,314.0,Baden-Württemberg,0.789466931,0.101084104,0.069455221,0.039993744,0.0,True,2
